Alias	AvgSpotLen	BioSample	Experiment	INSDC_first_public	INSDC_last_update	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_accession	Sample_Name	collection_date	environment_biome	environment_feature	environment_material	geographic_location_country_and_or_sea	geographic_location_latitude	geographic_location_longitude	project_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_checklist	INSDC_center_name	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	Organism	Platform	SRA_Study	Title	geographic_location_depth	geographic_location_elevation	investigation_type	sequencing_method	soil_environmental_package
G2536_F	592	SAMEA4698675	ERX2619089	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	159	101	2018-07-03	ERR2602433	ERS2518847	ERS2518847	SAMEA4698675 ERS2518847	2011	Temperate_coniferous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Estonia	58.46239	26.82084	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2645_F	592	SAMEA4698676	ERX2619090	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	115	74	2018-07-03	ERR2602434	ERS2518848	ERS2518848	SAMEA4698676 ERS2518848	2011	Mediterrean	soil [ENVO:00001998]	soil [ENVO:00001998]	Australia	-35.00227	116.65217	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2745_F	591	SAMEA4698677	ERX2619091	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	54	34	2018-07-03	ERR2602435	ERS2518849	ERS2518849	SAMEA4698677 ERS2518849	2011	Savannas	soil [ENVO:00001998]	soil [ENVO:00001998]	Australia	-12.7188333333	131.7455	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2844_F	592	SAMEA4698678	ERX2619092	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	78	47	2018-07-03	ERR2602436	ERS2518850	ERS2518850	SAMEA4698678 ERS2518850	2011	Temperate_coniferous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Estonia	58.08112	26.34164	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2846_F	592	SAMEA4698679	ERX2619093	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	128	78	2018-07-03	ERR2602437	ERS2518851	ERS2518851	SAMEA4698679 ERS2518851	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Estonia	58.89269	23.68405	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G3050_F	591	SAMEA4698680	ERX2619094	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	83	52	2018-07-03	ERR2602438	ERS2518852	ERS2518852	SAMEA4698680 ERS2518852	2011	Dry_tropical_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	India	29.45644	79.22805	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G3242_F	592	SAMEA4698681	ERX2619095	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	120	73	2018-07-03	ERR2602439	ERS2518853	ERS2518853	SAMEA4698681 ERS2518853	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Estonia	59.49325	25.36253	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G3426_F	591	SAMEA4698682	ERX2619096	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	61	38	2018-07-03	ERR2602440	ERS2518854	ERS2518854	SAMEA4698682 ERS2518854	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Estonia	58.35081	25.55063	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G3484_F	592	SAMEA4698683	ERX2619097	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	114	70	2018-07-03	ERR2602441	ERS2518855	ERS2518855	SAMEA4698683 ERS2518855	2011	Grasslands_and_shrublands	soil [ENVO:00001998]	soil [ENVO:00001998]	Italy	36.77594	12.01178	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G3487_F	592	SAMEA4698684	ERX2619098	2018-05-31T17:02:57Z	2018-05-30T09:45:00Z	2018-07-11	235	145	2018-07-03	ERR2602442	ERS2518856	ERS2518856	SAMEA4698684 ERS2518856	2011	Temperate_deciduous_forests	soil [ENVO:00001998]	soil [ENVO:00001998]	Italy	36.81852	12.01496	16S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
