sample_name	experiment_accession
1642.MS00243	ERX1661919
1642.MS00242	ERX1661918
1642.MS00568	ERX1662244
1642.MS00569	ERX1662245
1642.MS00247	ERX1661923
1642.MS00246	ERX1661922
1642.MS00245	ERX1661921
1642.MS00244	ERX1661920
1642.MS00562	ERX1662238
1642.MS00563	ERX1662239
1642.MS00560	ERX1662236
1642.MS00561	ERX1662237
1642.MS00566	ERX1662242
1642.MS00567	ERX1662243
1642.MS00564	ERX1662240
1642.MS00565	ERX1662241
1642.MS00098	ERX1661774
1642.MS00240	ERX1661916
1642.MS00092	ERX1661768
1642.MS00093	ERX1661769
1642.MS00090	ERX1661766
1642.MS00091	ERX1661767
1642.MS00096	ERX1661772
1642.MS00097	ERX1661773
1642.MS00094	ERX1661770
1642.MS00095	ERX1661771
1642.MS00148	ERX1661824
1642.MS00149	ERX1661825
1642.MS00418	ERX1662094
1642.MS00419	ERX1662095
1642.MS00416	ERX1662092
1642.MS00417	ERX1662093
1642.MS00414	ERX1662090
1642.MS00415	ERX1662091
1642.MS00412	ERX1662088
1642.MS00413	ERX1662089
1642.MS00410	ERX1662086
1642.MS00411	ERX1662087
1642.MS00248	ERX1661924
1642.MS00003	ERX1661679
1642.MS00099	ERX1661775
1642.MS00104	ERX1661780
1642.MS00105	ERX1661781
1642.MS00458	ERX1662134
1642.MS00459	ERX1662135
1642.MS00100	ERX1661776
1642.MS00101	ERX1661777
1642.MS00102	ERX1661778
1642.MS00103	ERX1661779
1642.MS00519	ERX1662195
1642.MS00342	ERX1662018
1642.MS00343	ERX1662019
1642.MS00340	ERX1662016
1642.MS00451	ERX1662127
1642.MS00346	ERX1662022
1642.MS00281	ERX1661957
1642.MS00344	ERX1662020
1642.MS00345	ERX1662021
1642.MS00108	ERX1661784
1642.MS00348	ERX1662024
1642.MS00529	ERX1662205
1642.MS00109	ERX1661785
1642.MS00289	ERX1661965
1642.MS00521	ERX1662197
1642.MS00445	ERX1662121
1642.MS00444	ERX1662120
1642.MS00447	ERX1662123
1642.MS00446	ERX1662122
1642.MS00441	ERX1662117
1642.MS00440	ERX1662116
1642.MS00443	ERX1662119
1642.MS00442	ERX1662118
1642.MS00449	ERX1662125
1642.MS00448	ERX1662124
1642.MS00119	ERX1661795
1642.MS00118	ERX1661794
1642.MS00037	ERX1661713
1642.MS00030	ERX1661706
1642.MS00031	ERX1661707
1642.MS00599	ERX1662275
1642.MS00598	ERX1662274
1642.1BLANK	ERX1661671
1642.MS00593	ERX1662269
1642.MS00592	ERX1662268
1642.MS00591	ERX1662267
1642.MS00033	ERX1661709
1642.MS00597	ERX1662273
1642.MS00596	ERX1662272
1642.MS00595	ERX1662271
1642.MS00594	ERX1662270
1642.MS00069	ERX1661745
1642.MS00068	ERX1661744
1642.MS00063	ERX1661739
1642.MS00062	ERX1661738
1642.MS00061	ERX1661737
1642.MS00060	ERX1661736
1642.MS00067	ERX1661743
1642.MS00066	ERX1661742
1642.MS00065	ERX1661741
1642.MS00064	ERX1661740
1642.MS00238	ERX1661914
1642.MS00239	ERX1661915
1642.MS00232	ERX1661908
1642.MS00233	ERX1661909
1642.MS00230	ERX1661906
1642.MS00231	ERX1661907
1642.MS00236	ERX1661912
1642.MS00237	ERX1661913
1642.MS00234	ERX1661910
1642.MS00235	ERX1661911
1642.MS00140	ERX1661816
1642.MS00141	ERX1661817
1642.MS00142	ERX1661818
1642.MS00143	ERX1661819
1642.MS00144	ERX1661820
1642.MS00145	ERX1661821
1642.MS00287	ERX1661963
1642.MS00286	ERX1661962
1642.MS00285	ERX1661961
1642.MS00284	ERX1661960
1642.MS00283	ERX1661959
1642.MS00282	ERX1661958
1642.MS00528	ERX1662204
1642.MS00280	ERX1661956
1642.MS00526	ERX1662202
1642.MS00527	ERX1662203
1642.MS00524	ERX1662200
1642.MS00525	ERX1662201
1642.MS00522	ERX1662198
1642.MS00523	ERX1662199
1642.MS00520	ERX1662196
1642.MS00288	ERX1661964
1642.MS00078	ERX1661754
1642.MS00170	ERX1661846
1642.MS00106	ERX1661782
1642.MS00070	ERX1661746
1642.MS00107	ERX1661783
1642.MS00071	ERX1661747
1642.MS00621	ERX1662297
1642.MS00620	ERX1662296
1642.MS00623	ERX1662299
1642.MS00622	ERX1662298
1642.MS00625	ERX1662301
1642.MS00624	ERX1662300
1642.MS00627	ERX1662303
1642.MS00626	ERX1662302
1642.MS00629	ERX1662305
1642.MS00628	ERX1662304
1642.MS00399	ERX1662075
1642.MS00398	ERX1662074
1642.MS00010	ERX1661686
1642.MS00011	ERX1661687
1642.MS00016	ERX1661692
