_1_KT	AvgSpotLen	BioSample	Experiment	Instrument	Lat	LibraryLayout	Library_Name	LoadDate	MBases	MBytes	Max_Elev	Min_Elev	NH4_N	NO3_N	PH	Plant_rich	Precip	ReleaseDate	Run	SRA_Sample	Sample_Name	TC	TN	Temp	collection_date	geo_loc_name	lat_lon	moisture	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibrarySelection	LibrarySource	Organism	Platform	SRA_Study	host	isolation_source
43.12612667	502	SAMN04417181	SRX1537134	Illumina MiSeq	40	PAIRED	NI100W_nifH	2016-01-21	30	19	3798	2895	12.91	2.249	4.66	5	550	2016-03-17	SRR3108825	SRS1253970	NI100W	11.37	0.32	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	9.72	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	253	SAMN04417181	SRX1806278	Illumina MiSeq	40	SINGLE	NI100W_16S	2016-05-31	8	4	3798	2895	12.91	2.249	4.66	5	550	2016-06-01	SRR3607537	SRS1253970	NI100W	11.37	0.32	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	9.72	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	268	SAMN04417181	SRX1812004	Illumina MiSeq	40	SINGLE	NI100W_ITS	2016-06-01	11	4	3798	2895	12.91	2.249	4.66	5	550	2016-06-02	SRR3613657	SRS1253970	NI100W	11.37	0.32	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	9.72	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	502	SAMN04417180	SRX1537133	Illumina MiSeq	40	PAIRED	NI100S_nifH	2016-01-21	29	18	3798	2895	24.14	0.936	5.07	5	550	2016-03-17	SRR3108824	SRS1253971	NI100S	14.82	0.41	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	19.3	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	254	SAMN04417180	SRX1806279	Illumina MiSeq	40	SINGLE	NI100S_16S	2016-05-31	10	5	3798	2895	24.14	0.936	5.07	5	550	2016-06-01	SRR3607538	SRS1253971	NI100S	14.82	0.41	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	19.3	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	257	SAMN04417180	SRX1812012	Illumina MiSeq	40	SINGLE	NI100S_ITS	2016-06-01	6	2	3798	2895	24.14	0.936	5.07	5	550	2016-06-02	SRR3613658	SRS1253971	NI100S	14.82	0.41	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	19.3	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	502	SAMN04417178	SRX1537131	Illumina MiSeq	40	PAIRED	NI100E_nifH	2016-01-21	30	19	3798	2895	18.84	0.4235	4.58	5	550	2016-03-17	SRR3108822	SRS1253972	NI100E	9.84	0.26	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	34.91	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	253	SAMN04417178	SRX1806281	Illumina MiSeq	40	SINGLE	NI100E_16S	2016-05-31	14	7	3798	2895	18.84	0.4235	4.58	5	550	2016-06-01	SRR3607541	SRS1253972	NI100E	9.84	0.26	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	34.91	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	279	SAMN04417178	SRX1812025	Illumina MiSeq	40	SINGLE	NI100E_ITS	2016-06-01	7	3	3798	2895	18.84	0.4235	4.58	5	550	2016-06-02	SRR3613660	SRS1253972	NI100E	9.84	0.26	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	34.91	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
43.12612667	502	SAMN04417179	SRX1537132	Illumina MiSeq	40	PAIRED	NI100N_nifH	2016-01-21	23	14	3798	2895	35.27	4.217	4.29	5	550	2016-03-17	SRR3108823	SRS1253973	NI100N	17.15	0.41	-4	15-Aug-2012	USA: Colorado	39.99 N 105.38 W	21.48	AMPLICON	PRJNA308872	Metagenome or environmental	UNIVERSITY OF OKLAHOMA	public	sra	ncbi	0	PCR	METAGENOMIC	soil metagenome	ILLUMINA	SRP068620	soil	forest
