ID,D_2,D_1,D0,D1,D2,R1,R2,R3,A1,A2,A3,lon,lat,depth,study,BIO,MAT,RAD,MAP,DRY,PET,PH,CEC,BLD,ORC,CLY,SLT,SND,AWC,CWC,NPP
1030.TVF.Control.Loc2.D10.Rep1,2160.85345781202,1272.9549317451,419.69,59.9688982593803,17.5076337988182,115.63,226.53,353.27,304.06,193.16,66.42,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc3.D10.Rep4,1797.27706501934,967.615374584461,254.38,37.0150032207899,17.2530204634208,56.97,124.68,208.25,197.41,129.7,46.13,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc2.D10.Rep2,2183.08678079157,1293.54958020839,434.71,61.5172143839203,14.5141032292474,86.58,209.73,358.96,348.13,224.98,75.75,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc3.D10.Rep5,2000.32757745857,1136.55062957979,343.54,52.5787588225417,19.4460149251579,73.5,167.26,284.05,270.04,176.28,59.49,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc2.D10.Rep3,2345.24437996808,1432.04899619697,506.52,67.3481418529829,13.849582388656,109.29,267.64,429.08,397.23,238.88,77.44,-145.8,64.33,0.015,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,38,917.5,220,10,56,34.5,61.3602411497717,0.300306032355105,337.7
1030.TVF.Control.Loc4.D10.Rep1,2141.70305422308,1254.40313859068,400.76,49.7142006582817,12.4336780267825,103.59,223.75,345.3,297.17,177.01,55.46,-145.8,64.33,0.015,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,38,917.5,220,10,56,34.5,61.3602411497717,0.300306032355105,337.7
1030.TVF.Control.Loc1.D10.Rep1,2020.64010026342,1151.24425695271,333.02,25.1132524259692,6.35283080193315,65.64,145.13,268.49,267.38,187.89,64.53,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc2.D10.Rep4,2340.27072314191,1427.30204224615,499.17,51.8969094216101,9.7230766073166,95.8,234.05,407.16,403.37,265.12,92.01,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc4.D10.Rep2,2171.40547914426,1267.01080942883,392.7,40.2777305027237,8.52662688090116,94.69,196.67,322.62,298.01,196.03,70.08,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc1.D10.Rep2,2013.77584112232,1147.46947671877,367.13,58.0483264888883,15.349826304083,63.27,156.76,289.93,303.86,210.37,77.2,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc2.D10.Rep5,2440.51392483809,1522.96238122363,581.74,118.250313586605,34.1749915749996,129.09,301.06,495.86,452.65,280.68,85.88,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
1030.TVF.Control.Loc4.D10.Rep3,2605.73988867178,1684.87928615345,678.88,114.235259697784,29.6004901162279,234.11,436.89,600.68,444.77,241.99,78.2,-145.8,64.33,0.055,EMP,6,-2.96424984931946,8096.25,461.884124755859,6.9820742637644,0.940252513670085,5.5,29.5,891.5,153.5,10,55.5,35,61.8190345192204,0.30259948527831,337.7
